cycle_life,DeltaQ_logVar,DeltaQ_Min,DeltaQ_Skew,DeltaQ_Kurt,QD_Max-2,QD_2,slope_capacity_fade_2-100,intercept_capacity_fade_2-100,slope_capacity_fade_91-100,intercept_capacity_91-100,init_avg_charge_time,avg_T,min_IR,IR_100-2
1852,-4.836169572,-0.009054111,0.443415915,0.342752202,0.4683652,1.0706892,-0.000206807,1.091143732,3.53E-05,1.072424693,13.374894,31.60374733,0.016443744,-7.52E-05
2160,-4.988991214,-0.010528733,0.072319069,-0.156307657,0.0092883,1.0753012,5.54E-06,1.08096458,-4.13E-05,1.084767,13.40915,31.33031431,0,-4.20E-05
2237,-4.81242117,-0.013185873,0.059163738,0.621247855,0.0081312,1.0799223,1.03E-05,1.08484612,-4.42E-05,1.089364321,13.35824233,31.47958411,0,-1.38E-05
1434,-4.371543915,-0.018932757,-0.353849696,-1.072028888,0.0065301,1.0797229,1.71E-05,1.084075016,-3.68E-06,1.085131095,12.02513967,29.94219881,0,3.86E-05
1709,-4.533900376,-0.017832352,-0.257654002,-0.54982185,0.0058999,1.0784167,1.90E-05,1.081874821,-2.93E-05,1.085538347,12.04185067,31.44888383,0,-5.33E-05
1074,-4.138278847,-0.026849843,0.064145277,-1.013627131,0.0059438,1.0761266,1.12E-05,1.079754795,-2.32E-05,1.082084999,10.96784967,30.92149771,0.015922785,-0.000111867
636,-3.764241783,-0.040230994,-0.354404301,-1.069835144,0.0063032,1.0758358,-4.81E-06,1.081157026,-6.22E-05,1.085484911,10.076479,32.27384522,0,-0.000333346
870,-3.81349409,-0.038377795,-0.365713473,-1.055106969,0.0041042,1.0938644,-6.43E-06,1.09725427,-4.06E-05,1.099840619,10.02508167,31.99008451,0,-3.84E-05
1054,-3.946707499,-0.032401918,-0.352009669,-0.985063112,0.0059757,1.0829742,1.82E-05,1.086771425,-1.30E-05,1.088946321,11.207956,32.64153361,0.016611163,-3.37E-05
788,-4.091375995,-0.028488533,-0.611823813,-0.803493715,0.0094604,1.0537786,2.18E-05,1.058971606,-1.16E-05,1.061117519,11.668876,32.75932261,0,-0.000303578
880,-4.060836306,-0.02940338,-0.204277909,-1.265496905,0.0068777,1.0709661,2.62E-05,1.074764977,-1.95E-05,1.07814312,10.764334,33.0774628,0.016649306,-6.81E-05
719,-3.949082827,-0.031587051,-0.125777085,-0.252644427,0.0082151,1.0611236,2.90E-05,1.066175368,-2.44E-05,1.070170135,10.79770567,33.1477201,0.016542939,-0.000253296
862,-4.07162321,-0.028934414,0.090319879,-0.899453948,0.0074255,1.0811664,2.32E-05,1.085288383,-3.06E-05,1.089363988,10.11310767,32.41716255,0,-1.48E-05
857,-3.970673778,-0.033224644,-0.320732278,-0.941842322,0.0071738,1.072052,1.79E-05,1.076194039,-1.27E-05,1.078266405,10.14688067,32.08875386,0.016238289,2.22E-05
691,-3.678122768,-0.043688275,-0.054605214,-1.354224597,1.817914,1.0661705,-0.000294542,1.101465004,-0.000105866,1.074975859,9.958173667,31.83105728,0.015845969,-0.003994543
788,-3.621943877,-0.045971781,-0.290741743,-1.228831881,0.0041907,1.0851147,-1.04E-05,1.08889662,-3.33E-05,1.090313945,9.924738333,33.0440854,0.016205151,-6.61E-05
534,-3.356674517,-0.064970594,0.219260054,-1.05613369,0.0030942,1.07263,-0.000139776,1.076969671,-0.000233113,1.084587725,9.021115,32.15292202,0,-0.000580528
559,-3.34387766,-0.064504983,-0.049801687,-1.014820998,0.0034874,1.0824388,-8.18E-05,1.086397504,-0.000159053,1.092649285,8.964706333,33.13697371,0,-0.000203807
1014,-4.019220306,-0.031931492,0.020995317,-0.803285637,0.004493,1.0792934,-6.95E-06,1.082815554,-2.04E-05,1.083739446,11.44700633,31.99077455,0.016472535,-9.14E-06
1017,-3.919255055,-0.036203608,-0.382043795,-0.964748483,0.0045395,1.0745355,2.02E-06,1.07792995,-7.40E-05,1.084523121,12.147216,33.37806395,0.016390581,-4.86E-06
854,-3.985426103,-0.034233485,-0.350467539,-0.946204754,0.0046786,1.0752345,5.13E-07,1.078821728,-3.22E-05,1.081288054,12.13012667,33.84855707,0.016397864,-1.13E-05
870,-3.776152012,-0.041474181,-0.164797211,-1.179492842,0.0038948,1.0876514,-1.52E-05,1.091350021,-9.83E-05,1.098625475,10.76481967,33.15641406,0.016129743,1.29E-05
842,-3.817688201,-0.038979013,-0.228073169,-1.052728235,0.0039534,1.0790461,-1.08E-05,1.082584738,-1.33E-05,1.082296433,10.79698533,33.89497,0.015953196,3.19E-05
860,-3.827625339,-0.038255943,-0.078643531,-1.321005833,0.003847,1.0777475,-7.73E-06,1.08108969,-3.48E-05,1.083175631,11.12990733,33.77380053,0.016467512,6.38E-05
917,-3.830199779,-0.03692762,-0.110609276,-1.211477671,0.0043492,1.0794537,-5.21E-06,1.08304867,-3.73E-05,1.085559155,11.17953533,32.70415602,0.016308507,1.78E-05
709,-3.749201077,-0.040963603,-0.241453415,-1.248662985,0.0039545,1.0798637,-1.64E-05,1.083658496,-3.75E-05,1.085152836,10.13017967,33.54008831,0.015838005,5.84E-05
876,-3.765724268,-0.042081877,-0.074731389,-1.040269689,0.0036942,1.0946392,-2.62E-05,1.09840466,-4.08E-05,1.099446616,10.11367267,30.37539675,0.016684072,1.07E-05
731,-3.650298149,-0.047305069,-0.113279937,-1.095570321,0.0038201,1.0778366,-1.28E-05,1.081323039,-3.84E-05,1.083227069,10.096438,33.08050305,0.015933495,5.13E-05
757,-3.6532972,-0.0470007,0.093775748,-1.120690397,0.0043354,1.0924908,-2.18E-05,1.096604067,-4.61E-05,1.098375564,10.14642867,33.67169761,0.016214989,-1.72E-05
742,-3.81703599,-0.038264842,-0.018329127,-1.007929423,0.004865,1.0766174,-3.13E-07,1.08008595,-3.01E-05,1.082449982,11.067937,32.66455168,0.016567618,-2.84E-05
703,-3.751485613,-0.042766725,-0.176709869,-1.16962037,0.0050792,1.0707464,3.20E-06,1.074344712,-2.63E-05,1.076614707,11.051195,32.09733438,0.016647711,3.24E-05
704,-3.652588631,-0.046998961,-0.027202769,-1.221403394,0.0045278,1.0778315,-7.18E-06,1.081642895,-4.10E-05,1.084323084,11.52484333,32.04688206,0.016229769,8.79E-05
648,-3.651481196,-0.047981392,-0.286544724,-1.160787264,0.0044724,1.0748194,-9.68E-06,1.078523771,-4.38E-05,1.081177342,11.574392,32.95969887,0.016318144,6.72E-05
617,-3.449582409,-0.056871319,-0.096070705,-1.316282984,0.0036465,1.0729513,-9.44E-06,1.076282799,-7.16E-06,1.075664488,10.24306667,33.69474656,0.016066672,8.90E-05
625,-3.502622146,-0.055686668,-0.172648452,-1.195837619,0.0046894,1.0817773,-3.29E-06,1.085827017,-2.56E-05,1.087359352,10.258443,33.50643317,0.016519627,9.16E-05
966,-4.074499719,-0.028310519,-0.219733914,-1.131335667,0.0045033,1.0833029,-8.20E-06,1.087348426,-4.21E-05,1.089952279,12.07122267,33.45968416,0.016480761,6.66E-05
1051,-4.101370877,-0.030138693,-0.318989433,-0.967452932,0.0049075,1.0789614,-1.39E-07,1.082893853,-3.19E-05,1.085361975,12.087368,33.07332253,0.016552322,-9.89E-07
702,-3.653611724,-0.046531089,-0.127108917,-1.25214953,0.0049595,1.0798725,2.11E-06,1.08378139,-3.26E-05,1.086507071,11.17109367,33.58506724,0.016511114,0.000103314
651,-3.667979232,-0.045652639,-0.274711517,-1.27895938,0.0034321,1.0682389,-2.40E-05,1.07174695,-3.97E-05,1.072803769,11.17087433,33.33978266,0.015904058,0.000127854
616,-3.432984703,-0.059523278,0.17428036,-1.228040691,0.0035624,1.0847682,-3.36E-05,1.08855646,-5.14E-05,1.089854065,10.27110433,32.55333217,0.017142953,0.000152771
599,-3.421146599,-0.059708071,0.108966129,-1.261079884,0.0044825,1.0839558,-1.29E-05,1.087818373,-3.90E-05,1.089747546,10.25446533,33.00054739,0.016382927,0.000150384
300,-2.776004344,-0.125064056,0.605527236,-0.854797644,0.0035296,1.0700541,-0.000354731,1.07883863,-0.000696795,1.108732469,10.24416467,30.04871345,0.016423751,-0.00021299
148,-2.739834919,-0.139911666,0.814781915,-0.621574793,0.0015459,1.0720705,-0.001092105,1.084408327,-0.001405749,1.109249796,10.32765733,32.41005348,0.016267318,-0.000832979
438,-3.703199335,-0.041440517,0.047791409,-1.295870094,0.0064283,1.0735391,-1.28E-05,1.078679621,-5.64E-05,1.081637856,10.075615,32.74589102,0.017209327,-0.000232082
335,-2.903630522,-0.103414778,0.386003849,-0.996652378,0.0020589,1.0668509,-0.000227374,1.072520538,-0.000355322,1.082344632,10.135263,33.65516742,0.015852956,-0.000333825
444,-3.443351529,-0.061189875,0.330909376,-0.957127878,0.0027499,1.0728973,-0.00010675,1.077330645,-0.000189493,1.084105793,10.124655,32.90244509,0.015997788,-0.00085516
480,-3.578948169,-0.050875022,-0.100194078,-1.183655111,0.0050053,1.0680153,-1.14E-06,1.072032036,-7.46E-05,1.078154133,10.16286633,32.05251533,0.016727364,-0.000308501
511,-3.286170264,-0.071738702,0.467401664,-0.909470123,0.0037921,1.0687391,-0.000214386,1.075658243,-0.000290691,1.081211722,10.19462267,32.773418,0.015648872,-0.001029189
561,-3.596565403,-0.050890856,0.142424276,-1.041482075,0.0048897,1.0690521,-6.00E-05,1.074592569,-0.000165943,1.083473019,10.114951,33.40783701,0.017548179,-0.000579358
477,-3.597368463,-0.050889172,0.217142272,-1.104258444,0.0042239,1.0717047,-4.15E-05,1.076324939,-0.000125932,1.083208858,10.107076,33.2089816,0.017036082,-0.00052274
458,-3.357714535,-0.067367785,0.396510386,-0.892810574,0.4178432,1.0712759,-0.000148013,1.076501974,-0.000243721,1.084382516,10.17263867,33.60048951,0.016133603,-0.000956277
483,-3.243276659,-0.073903227,0.043273441,-1.143903542,0.0029318,1.080285,-0.000121204,1.085154313,-0.000186149,1.090231258,10.23092367,33.36424175,0.016480118,-0.000497063
485,-3.475839321,-0.059173374,-0.095422739,-1.0779651,0.0048147,1.0780684,-3.97E-06,1.082271562,-4.31E-05,1.085222101,10.114209,32.86840488,0.016895344,-0.000133067
494,-3.476324735,-0.054475595,-0.189808636,-0.987796943,0.0110646,1.0656468,2.06E-05,1.073533826,-7.10E-05,1.0806242,10.161191,31.43027752,0.016974878,-0.000504403
487,-3.726510481,-0.04153556,0.344179785,-0.979695382,0.0037714,1.063838,-8.16E-05,1.06828311,-0.000141642,1.072919504,10.18597433,32.95677441,0.016697574,-0.000435537
461,-3.356292059,-0.061538713,0.041102414,-1.209290703,0.0016425,1.0480373,-0.000178508,1.051277032,-0.000171432,1.049971758,10.333377,32.4408942,0.01643493,-0.001034869
502,-3.576925784,-0.060768892,-0.334228516,-0.669699483,0.0063896,1.0831043,-6.30E-06,1.088277042,-8.80E-05,1.094967578,10.147933,32.65244317,0.017116761,-9.67E-05
489,-3.352500253,-0.063355201,-0.087702976,-1.234447242,0.005137,1.0768799,-4.40E-05,1.082136947,-0.000109075,1.087376249,10.121576,32.35872589,0.017165525,-0.000258873
513,-3.566985776,-0.055815223,-0.173968834,-1.164682521,0.0056468,1.079723,-8.08E-06,1.084615931,-8.59E-05,1.091102888,10.14747167,31.93073263,0.016888004,-0.000345537
527,-3.442968048,-0.058723295,0.095608979,-1.08724584,0.00356,1.0745209,-6.66E-05,1.078901174,-0.000125752,1.083801218,10.250747,32.25237067,0.01690297,-0.00082546
495,-3.771064329,-0.06438996,-0.936823698,1.795460037,0.0054579,1.0679682,2.77E-06,1.071938919,-8.55E-05,1.079509,10.058893,30.08036649,0.016777694,-0.000260558
461,-3.592137425,-0.051669527,0.164235899,-1.209277152,0.0048971,1.0672674,-3.03E-05,1.072093634,-0.000126161,1.080208468,10.04198667,29.80710204,0.016953357,-0.000553833
471,-3.557012286,-0.054275753,0.054680383,-1.062385875,0.0058852,1.0766411,-3.70E-05,1.082561314,-0.000123453,1.089652165,10.00823233,31.65850012,0.017301282,-0.000577019
468,-3.738193648,-0.042525108,0.220122994,-0.668798985,0.005946,1.065841,4.95E-07,1.070597696,-6.74E-05,1.076084512,10.14740933,32.00299249,0.017141469,-0.00026701
509,-3.786315316,-0.041206081,-0.180387539,-0.982146068,0.0063132,1.07155,6.73E-06,1.076352866,-5.91E-05,1.082173513,10.13968633,33.06181594,0.01686197,-8.50E-05
498,-3.636888952,-0.04627043,-0.380235785,-1.154913304,0.0068375,1.0725043,3.28E-05,1.076574752,-1.81E-05,1.08047904,10.114581,33.48709271,0.016837668,4.10E-05
481,-3.741018479,-0.04373582,-0.108230389,-1.091547468,0.0058776,1.0672802,8.46E-06,1.071719845,-6.42E-05,1.07765363,10.09733367,32.40653136,0.017394017,-0.00031568
492,-3.733931368,-0.04174218,0.129696725,-1.175651164,0.0068458,1.0732793,1.27E-05,1.07857364,-5.83E-05,1.084380818,10.14688433,31.78655714,0.017417014,-3.72E-05
519,-3.665380123,-0.046004421,-0.150746555,-1.153589352,0.0066598,1.0742669,1.78E-05,1.078764532,-3.53E-05,1.083118649,10.13043933,33.24763716,0.017273866,0.000109414
520,-3.603289517,-0.048806287,-0.185010344,-1.259892925,0.006544,1.079052,2.07E-05,1.08352129,-1.62E-05,1.086236694,10.12924833,32.97224983,0.017406421,9.91E-05
499,-3.765504468,-0.042254577,-0.379442194,-1.014599458,0.0068526,1.0688509,2.09E-05,1.073610613,-5.00E-05,1.079649324,10.164115,33.43112241,0.017337065,-0.00014857
463,-3.474929768,-0.056787909,-0.190279755,-1.188091537,0.0057665,1.0687217,-2.80E-07,1.073355198,-7.22E-05,1.079095497,10.13029333,33.63428394,0.016969517,-0.000378346
535,-3.487188561,-0.053048162,-0.34372902,-1.170312491,0.0063388,1.079731,2.41E-05,1.083945036,-3.12E-05,1.088271479,10.14772167,33.41465124,0.020022187,9.95E-05
478,-3.502065791,-0.052924702,-0.153165549,-1.358348889,0.0068574,1.0748166,3.51E-05,1.07889607,-3.18E-05,1.084373907,10.11468833,31.94539363,0.01798249,9.34E-05
465,-3.569983417,-0.050530919,0.077217808,-1.30643949,0.0057986,1.0699497,1.65E-05,1.074105116,-4.34E-05,1.078955405,10.14849333,32.17443347,0.017577264,-3.57E-05
459,-3.450462086,-0.057560532,0.005511867,-1.218721428,0.0084206,1.0784613,3.19E-05,1.084284399,-2.65E-05,1.088829988,10.14447933,32.12976121,0.017882114,7.45E-05
499,-3.532283582,-0.052316479,-0.082969219,-1.216826934,0.0065683,1.0765519,-1.99E-05,1.082268664,-5.40E-05,1.085115201,10.13158333,33.34105435,0.016943704,-0.000469548
429,-3.683038122,-0.047044574,-0.252144845,-1.034068609,0.0079039,1.0682049,1.66E-05,1.073882672,-6.89E-05,1.080949204,10.12803633,33.13252315,0.017491397,-7.86E-05
466,-3.52913559,-0.06007204,-0.066102734,-1.130537783,0.0060867,1.0780239,1.18E-05,1.082518045,-6.92E-05,1.089385525,10.13045433,33.13768963,0.016997622,-9.30E-05
462,-3.325159777,-0.067262759,-0.094672756,-1.260784084,0.0070754,1.0735646,1.25E-05,1.078976253,-2.66E-05,1.081680605,10.12917433,33.01174007,0.017879792,9.04E-05
457,-3.438237105,-0.058438255,0.006266148,-1.164023058,0.4738314,1.070887,2.23E-05,1.075213642,-2.26E-05,1.078684715,10.14690533,33.02833717,0.017408777,0.000186326
487,-3.566045062,-0.049146085,-0.166846858,-1.226440635,0.0051856,1.0704726,-7.06E-06,1.074867974,-7.21E-05,1.080170462,10.097114,32.61634778,0.01683791,-0.000126906
429,-3.352821747,-0.064931298,0.02657835,-1.236768926,0.0073842,1.0726138,2.94E-05,1.077631966,-1.32E-05,1.080845185,10.14691733,32.31134417,0.017551575,0.000247778
713,-4.058239642,-0.028436779,-0.192052413,-0.997151534,0.0081127,1.0421375,-9.55E-06,1.049389155,-7.97E-05,1.054948215,10.112717,32.40551928,0.017025596,-0.000836281
1009,-4.235155956,-0.023208891,-0.176134529,-1.157049376,0.0039161,1.0674551,-5.35E-06,1.070659091,-4.19E-05,1.073592474,10.044531,32.19485323,0.015180224,-0.000128412
1063,-4.203578402,-0.023186156,0.095247902,-0.761872289,0.0036796,1.0650603,-1.47E-05,1.068472358,-6.47E-05,1.072881217,10.04113867,34.83231929,0.014931546,-0.000102823
1115,-4.094543419,-0.027970098,-0.176186503,-0.724849317,0.002645,1.0628892,-1.27E-05,1.065298418,-7.75E-05,1.071194784,10.04206533,36.08374245,0.014885032,5.61E-05
1048,-4.163161693,-0.025701428,-0.177245252,-0.839319047,0.0027885,1.0724765,-5.23E-06,1.074804658,-2.38E-05,1.076184468,10.04503133,32.1171538,0.015085269,-6.73E-05
828,-4.075733826,-0.026323614,0.015440977,-0.986677638,0.0026052,1.0514506,-1.60E-05,1.053974207,-6.30E-05,1.058087015,10.04191,35.56013985,0.015130546,-0.000167234
667,-3.520223121,-0.05478468,0.536004483,-0.62519382,0.0004592,1.0626124,-0.000202398,1.064081999,-0.000243287,1.068014835,10.06247167,34.10720553,0.013527169,0.000320148
1836,-4.414752167,-0.016837115,0.34009744,0.126091857,0.0033972,1.0675218,-2.36E-06,1.070297655,-6.75E-05,1.076085287,11.04157733,32.79694473,0.015372629,-3.54E-05
828,-4.108996019,-0.026230491,-0.195510773,-1.264101166,0.0039782,1.0647362,-3.31E-06,1.068174847,-3.77E-05,1.070842241,10.04495,33.05552416,0.01520093,-0.000172681
1039,-3.979464408,-0.03069677,0.028150453,-1.178470234,0.0038881,1.0694826,6.68E-07,1.072825256,-8.25E-06,1.073239733,10.04174933,33.08832984,0.015742281,-2.94E-05
1078,-4.409527955,-0.018637345,-0.21952335,-1.197166615,0.0032262,1.0617746,-2.88E-06,1.064525264,-0.000113952,1.074603958,11.04500333,32.53480148,0.015318613,-0.000143864
817,-3.899066029,-0.034398055,-0.125499283,-1.229532625,0.0026928,1.0680679,-1.77E-05,1.070729462,-3.90E-05,1.072246544,10.04221833,34.20373702,0.015485173,-4.96E-05
932,-3.945039823,-0.03258056,-0.012148331,-1.278771195,0.0027777,1.0741653,-6.68E-06,1.076676032,-2.38E-05,1.077940266,10.04249167,33.22057315,0.01599754,-4.04E-05
816,-4.09671967,-0.026793918,-0.234444884,-1.201165424,0.0040867,1.065558,-1.22E-05,1.069335077,-4.98E-05,1.072257731,10.04231967,34.11768528,0.01506449,-0.000145141
858,-4.016697246,-0.029089979,-0.184659637,-1.299825152,0.0050386,1.0727056,4.64E-06,1.076779365,-1.70E-05,1.078110351,10.041712,33.11953607,0.015496999,-7.74E-05
876,-3.986550956,-0.029735669,-0.114125214,-1.266367755,0.0028587,1.0684187,-1.16E-05,1.071136518,-7.97E-05,1.077064293,10.04153367,33.51055049,0.01525728,-9.03E-05
1638,-4.599414631,-0.013803381,0.428790722,0.158946205,0.0033309,1.061009,-9.69E-06,1.064003112,-8.32E-05,1.070542173,11.04336633,34.94134877,0.015253145,-0.000120936
1315,-4.420201866,-0.017795866,0.227444867,-0.434923303,0.0025996,1.0664514,-5.83E-06,1.067345296,-2.00E-05,1.068533195,10.04197433,35.07228785,0.01535425,-0.000162275
1146,-4.211613802,-0.024230202,-0.070380887,-0.916824809,0.0021301,1.0680237,-2.93E-05,1.070361931,-7.01E-05,1.074033416,10.04312967,35.29141803,0.014978203,-3.74E-05
1155,-4.100838239,-0.025794625,0.305537925,-0.292914168,0.0019749,1.0719248,-2.97E-05,1.074235086,-7.90E-05,1.078710202,10.043437,35.09835954,0.015178323,-4.25E-05
813,-4.094278308,-0.027553771,-0.291822543,-1.14773041,0.0030607,1.0650502,-7.15E-06,1.067814756,-4.07E-05,1.070552776,10.04332967,33.10212248,0.015206913,-7.64E-05
772,-3.691418985,-0.045312426,0.506041859,-0.814521412,0.0008404,1.0678563,-0.000159492,1.070112267,-0.000192495,1.073130889,10.067868,34.90039942,0.01394002,0.000233937
1002,-4.028781083,-0.029054264,0.300104166,-0.795416905,0.0028446,1.0562643,-1.60E-05,1.05897035,-5.29E-05,1.062242032,10.04338433,34.61069656,0.015614755,-0.000122983
825,-4.109477615,-0.02567221,-0.203605981,-1.11011337,0.0048557,1.0462732,9.65E-06,1.049949028,-5.47E-05,1.055517054,10.04224033,34.68760502,0.01550305,-0.000150559
989,-4.090640759,-0.026267997,0.040099373,-0.534597677,0.0043403,1.0611302,6.95E-06,1.064468012,-5.59E-05,1.06989657,10.04159833,35.58186389,0.015591009,-4.92E-05
1028,-4.192112394,-0.026090571,-0.089129224,-0.677687991,0.0037909,1.0720186,-4.29E-07,1.075134168,-4.37E-05,1.078754517,10.04181667,35.74591654,0.015538619,-4.24E-05
850,-4.072128436,-0.027511794,-0.003488704,-0.63832696,0.0040355,1.0604171,-4.04E-06,1.063914867,-4.65E-05,1.067372125,10.04502233,35.30844807,0.014868693,-9.95E-05
541,-3.444241536,-0.059519365,0.304015026,-0.897534498,0.0008317,1.0518668,-0.000198022,1.054621147,-0.000267253,1.060669153,10.05914167,35.69688829,0.013169404,0.000435923
858,-4.028623159,-0.028347269,-0.167059348,-1.009413466,0.004832,1.0663688,4.08E-06,1.070292311,-5.96E-05,1.075542098,10.04168767,31.26288933,0.014745088,-0.000165511
935,-4.117178268,-0.025922831,-0.071704368,-0.857980844,0.0036005,1.0687393,-3.42E-06,1.071880175,-3.10E-05,1.074063598,10.04367867,32.24311941,0.015509814,-0.000114126
731,-3.80300574,-0.036166042,0.053236419,-1.079537438,0.0034605,1.0681812,-9.00E-06,1.071258666,-3.54E-05,1.073281415,10.04647767,34.0000307,0.015812302,-2.98E-05
1284,-4.346329244,-0.020177194,-0.119100278,-0.728482851,0.0026444,1.060272,-1.26E-05,1.062801338,-5.69E-05,1.066627388,10.04330133,33.10710984,0.015279103,-0.000153993
1158,-4.23952748,-0.022015307,0.213309181,-0.388459653,0.0027431,1.061535,-2.12E-05,1.06432507,-7.77E-05,1.069308148,10.04418467,35.77943528,0.015220164,-0.000106908
1093,-4.201637901,-0.024389496,-0.105328552,-0.885609896,0.0020494,1.0633804,-1.95E-05,1.065495417,-4.98E-05,1.068198545,10.04314867,35.5329415,0.015308049,-7.60E-05
923,-4.232011999,-0.023399409,-0.19861597,-1.097711538,0.0030761,1.0575287,-2.20E-05,1.060483815,-5.94E-05,1.063666739,10.043801,35.87907158,0.015083324,-8.83E-05
1935,-4.337466185,-0.020391822,-0.028003071,-1.109191642,0.0025093,1.0701473,-8.79E-06,1.072430919,-6.19E-05,1.077245644,10.044471,34.74583632,0.015742945,-0.000115897
1156,-4.44800559,-0.017448175,-0.289342577,-1.069966214,0.004107,1.0474036,-6.58E-06,1.050918796,-2.41E-05,1.052010814,10.043833,33.88702184,0.015480768,-0.000155274
796,-4.317736199,-0.022139149,-0.2643822,-0.97071415,0.00451,1.0593235,-7.69E-06,1.063391687,-4.83E-05,1.066635646,10.043563,34.05341123,0.015254971,-0.000234305
786,-4.211670313,-0.023848703,-0.320924328,-1.125221373,0.0043619,1.0505219,9.73E-06,1.053877799,-5.06E-05,1.059149495,10.04297433,33.6402628,0.017006677,-0.000173132
940,-4.107817835,-0.025999824,-0.010105334,-0.985847387,0.0041849,1.06972,4.69E-06,1.073078213,-1.79E-05,1.074668847,10.04343567,33.35164904,0.01551657,-0.000105745
1801,-4.438655054,-0.017633401,0.202497325,-0.223248288,0.0025962,1.0695485,-1.26E-07,1.071472276,-7.19E-06,1.071735902,11.03765,32.72596355,0.015557319,-7.95E-05